"시장명",시장유형,소재지도로명주소,소재지지번주소,시장개설주기,위도,경도,점포수,취급품목,사용가능상품권,홈페이지주소,공중화장실보유여부,주차장보유여부,개설년도,전화번호,데이터기준일자
"대유대림상가",상설장,제주특별자치도 제주시 일도2동 113-7,,매일,33.50313869,126.5516176,,,,,,,1996,,2019-04-02
"연동시장",상설장,제주특별자치도 제주시 연동 290-51,,매일,33.49217613,126.4956204,,,,,,,1995,,2019-04-02
"화북종합시장",상설장,제주특별자치도 제주시 화북1동 1947,,매일,33.52265229,126.5658782,,,,,,,1992,,2019-04-02
"신산시장",상설장,제주특별자치도 제주시 일도2동 113-7,,매일,33.50313869,126.5516176,,,,,,,1992,,2019-04-02
"탑동유니코상가",상설장,제주특별자치도 제주시 삼도2동 1259,,매일,33.51797055,126.5211467,,,,,,,1996,,2019-04-02
"도남시장",상설장,제주특별자치도 제주시 도남동 923-13,,매일,33.49640746,126.5289381,,,,,,,1991,,2019-04-02
"한림매일시장",상설장,제주특별자치도 제주시 한림읍 한림리 1314-68,,매일,33.41657985,126.2642257,,,,,,,1950,,2019-04-02
"중앙로상점가",상설장,제주특별자치도 제주시 이도1동 1469,,매일,33.51064082,126.5241772,,,,,,,1965,,2019-04-02
"동문시장(주)",상설장,제주특별자치도 제주시 일도일동 1148-2,,매일,33.51276339,126.5282957,,,,,,,1965,,2019-04-02
"함덕오일시장",5일장,제주특별자치도 제주시 조천읍 함덕리 972-7,,1일+6일,33.54023632,126.6679877,,,,,,,1907,,2019-04-02
"세화오일시장",5일장,제주특별자치도 제주시 구좌읍 세화리 1500-5,,5일+10일,33.52618521,126.8572998,,,,,,,1912,,2019-04-02
"한림오일시장",5일장,제주특별자치도 제주시 한림읍 대림리 1698-4,,4일+9일,33.41983345,126.2745033,,,,,,,1965,,2019-04-02
"중앙지하상가",상설장,제주특별자치도 제주시 일도일동 1425-3,,매일,33.51315271,126.5246405,,,,,,,1983,,2019-04-02
"칠성로상점가",상설장,제주특별자치도 제주시 일도일동 1146,,매일,33.51352107,126.5283259,,,,,,,1965,,2019-04-02
"제주민속오일시장",5일장,제주특별자치도 제주시 도두일동 1212,,2일+7일,33.49725124,126.4748934,,,,,,,1968,,2019-04-02
"보성시장",상설장,제주특별자치도 제주시 이도일동 1289-5,,매일,33.5033287,126.5279387,,,,,,,1972,,2019-04-02
"동문공설시장",상설장,제주특별자치도 제주시 일도일동 1104,,매일,33.5120899,126.5285223,,,,,,,1954,,2019-04-02
"서문공설시장",상설장,제주특별자치도 제주시 용담일동 135-9,,매일,33.51134145,126.5179122,,,,,,,1954,,2019-04-02
"제주동문수산시장",상설장,제주특별자치도 제주시 이도일동 1349-5,,매일,33.51225146,126.5261841,,,,,,,1970,,2019-04-02
"동문재래시장",상설장,제주특별자치도 제주시 이도일동 1436-7,,매일,33.5115914,126.5260231,,,,,,,1954,,2019-04-02
